Index,Param1,Param2,Param3,obs1,obs2,obs3,obs4
284.53,2312.419392,2.5855,4087.489439,0,0,0,0
284.68,2312.419392,2.5701,4087.489439,-0.002987043,-0.002730792,-0.002030765,-0.001074734
284.84,2312.419392,2.5738,4087.489439,0.000719299,0.000657618,0.000489102,0.00025889
284.99,2312.419392,2.5935,4087.489439,0.003812436,0.003485636,0.0025927,0.001372562
285.14,2304.551641,2.6102,4044.585987,-0.002066611,-0.002424554,-0.003739078,-0.007111007
285.29,2245.303867,2.603,4105.879976,0.006139259,0.009046336,0.017478828,0.031378299
285.45,2276.835736,2.5732,4080.48516,-0.008859048,-0.009744107,-0.012365928,-0.016901401
285.6,2256.607685,2.557,4055.672353,-0.006207408,-0.005419811,-0.003466912,-0.001731272
285.75,2262.302383,2.5719,4118.362383,0.010574282,0.010683869,0.011503378,0.015123754
285.9,2281.778709,2.6173,4107.816712,0.007467059,0.005973126,0.001805275,-0.004291037
286.05,2280.924942,2.6533,4119.308583,0.00822709,0.007794262,0.006703386,0.005648402
286.21,2270.221957,2.6857,4119.141575,0.006048281,0.005933873,0.005619464,0.005181609
286.36,2272.422277,2.6946,4160.46737,0.006645402,0.006794128,0.007534706,0.010144312
286.51,2288.116508,2.6965,4166.040212,0.001021722,0.000489701,-0.00092105,-0.002644054
286.66,2329.562825,2.6784,4217.809451,0.002807431,0.002065044,0.00044533,0.000199883
286.82,2322.993674,2.6711,4244.947983,0.001842214,0.002416133,0.004196796,0.007642573
286.97,2304.37741,2.6709,4235.039113,-0.00120594,-0.000643452,0.000815802,0.002445338
287.12,2296.218171,2.6788,4189.690722,-0.003906084,-0.00412438,-0.005064027,-0.007954587
287.27,2280.242388,2.6792,4159.218373,-0.003575206,-0.003281164,-0.002713468,-0.003043603
287.43,2284.172662,2.679,4154.003407,-0.000664636,-0.000845416,-0.00138028,-0.00230442
287.58,2278.197175,2.6741,4182.159959,0.002462289,0.002992691,0.00466604,0.008020673
287.73,2296.218171,2.6804,4158.140296,-0.001703377,-0.002631181,-0.00535322,-0.009950439
287.88,2302.114804,2.6807,4148.519164,-0.001102285,-0.001399624,-0.00228744,-0.003856318
288.04,2365.357753,2.6808,4191.995599,0.005231331,0.003343502,-0.001483697,-0.006472558
288.19,2388.527545,2.6712,4287.7038,0.009493215,0.009641011,0.010822004,0.016204199
288.34,2455.688044,2.671,4397.951086,0.012655599,0.011259192,0.00830642,0.008492296
288.49,2455.688044,2.6675,4397.951086,-0.000655615,-0.000600841,-0.000451198,-0.000246792
288.65,2438.790206,2.664,4389.274502,-0.001643883,-0.001084764,0.000377272,0.002066735
288.8,2445.050537,2.659,4356.962134,-0.004633735,-0.005031523,-0.006355746,-0.009279948
288.95,2428.491754,2.6735,4342.127757,0.0010139,0.001233972,0.001723598,0.001867148
289.1,2408.153591,2.678,4314.835787,-0.002311723,-0.001904948,-0.000998365,-0.000720714
289.26,2408.534176,2.6816,4261.804555,-0.005511548,-0.006018889,-0.007797456,-0.012061954
289.41,2426.94482,2.663,4253.062819,-0.004506776,-0.004936594,-0.006178989,-0.00819638
289.56,2422.893482,2.6581,4324.631101,0.007422729,0.008258608,0.011110139,0.01773934
289.71,2423.086096,2.6513,4333.361767,-0.000272354,-9.88E-05,0.000441778,0.001494269
289.86,2412.346656,2.6427,4277.534523,-0.008107721,-0.00805922,-0.008338271,-0.010641715
290.02,2407.773126,2.6338,4276.094276,-0.001855102,-0.001561805,-0.000771653,0.000255188
290.17,2407.963343,2.6369,4284.810571,0.001606307,0.001622892,0.001735098,0.002205576
290.32,2396.414812,2.6491,4329.668456,0.007515159,0.008103748,0.010060378,0.014400776
290.47,2389.463782,2.6625,4332.499431,0.002849599,0.002904103,0.003074235,0.00340729
290.63,2442.894927,2.672,4334.101186,0.001965679,1.30E-05,-0.005322317,-0.012596067
290.78,2442.894927,2.6724,4334.101186,7.48447E-05,6.85E-05,5.11E-05,2.73E-05
